id,common_name,scientific_name,category,subcategory,climate_zone,hardiness_zone,functions,mature_height_m,mature_spread_m,sun_requirement,water_requirement,soil_preference,pc_zone_suitability,growth_rate,lifespan_type,yield_type,harvest_season,good_companions,avoid_near,icon_key,notes
italian_alder,Italian Alder,Alnus cordata,tree,nitrogen_fixer_tree,temperate,"RHS H6, USDA 6-9",nitrogen_fixer;windbreak;pollinator_attractor,20,8,full_sun,medium,tolerant_poor_soil;clay_tolerant,2;3,fast,perennial,wood,n_a,,,icon_tree_italian_alder,Faster and more drought-tolerant than common alder; good nurse/windbreak tree
mulberry_black,Black Mulberry,Morus nigra,tree,fruit_tree,temperate;mediterranean,"RHS H5, USDA 6-9",edible;pollinator_attractor,9,9,full_sun,medium,well_drained,2;3,slow,perennial,fruit,summer,comfrey,,icon_tree_mulberry,Slow to establish but long-lived and productive once mature
medlar,Medlar,Mespilus germanica,tree,fruit_tree,temperate,"RHS H6, USDA 5-8",edible;pollinator_attractor,6,5,full_sun,medium,well_drained,2;3,medium,perennial,fruit,autumn,comfrey,,icon_tree_medlar,Fruit harvested after first frost and 'bletted' before eating
quince,Quince,Cydonia oblonga,tree,fruit_tree,temperate;mediterranean,"RHS H5, USDA 5-9",edible;pollinator_attractor,4,3,full_sun,medium,well_drained,2;3,medium,perennial,fruit,autumn,comfrey,,icon_tree_quince,Fragrant fruit needs cooking; more tolerant of damp soil than most fruit trees
fig_hardy,Fig (hardy),Ficus carica,tree,fruit_tree,temperate;mediterranean,"RHS H4, USDA 7-9",edible,4,4,full_sun,low,well_drained;tolerant_poor_soil,1;2,medium,perennial,fruit,autumn,comfrey,,icon_tree_fig,Best against a warm south wall in cooler climates; restrict roots to encourage fruiting
plum_damson,Damson,Prunus domestica insititia,tree,fruit_tree,temperate,"RHS H6, USDA 5-8",edible;pollinator_attractor,5,4,full_sun,medium,well_drained,1;2;3,medium,perennial,fruit,autumn,comfrey,,icon_tree_damson,Tough reliable hedgerow-style plum; good for exposed sites
cherry_sweet,Cherry (sweet),Prunus avium,tree,fruit_tree,temperate,"RHS H6, USDA 4-8",edible;pollinator_attractor,10,8,full_sun,medium,well_drained,2;3,medium,perennial,fruit,summer,comfrey,,icon_tree_cherry_sweet,Needs a pollination partner unless a self-fertile variety is chosen
crab_apple,Crab Apple,Malus sylvestris,tree,fruit_tree,temperate,"RHS H6, USDA 4-8",edible;pollinator_attractor;habitat,8,7,full_sun,medium,well_drained,2;3,medium,perennial,fruit,autumn,apple_standard;apple_dwarf;comfrey;chives,,icon_tree_crab_apple,Excellent universal pollinator for other apples; fruit good for jelly and wildlife
honey_locust,Honey Locust (thornless),Gleditsia triacanthos var. inermis,tree,canopy_tree,temperate,"RHS H6, USDA 4-9",fodder;timber;pollinator_attractor,20,15,full_sun,low,tolerant_poor_soil;well_drained,2;3,fast,perennial,wood;fodder,n_a,white_clover;red_clover,,icon_tree_honey_locust,Light dappled canopy allows understory planting; pods used as livestock fodder
black_walnut,Black Walnut,Juglans nigra,tree,nut_tree,temperate,"RHS H6, USDA 4-9",edible;timber,25,15,full_sun,medium,well_drained,3,slow,perennial,nut;wood,autumn,,apple_standard;apple_dwarf;pear_standard;plum_standard;blueberry_highbush,icon_tree_black_walnut,Produces juglone — allelopathic to many plants; keep well clear of susceptible species
almond,Almond,Prunus dulcis,tree,nut_tree,temperate;mediterranean,"RHS H5, USDA 6-9",edible;pollinator_attractor,6,5,full_sun,low,well_drained,1;2,medium,perennial,nut,autumn,comfrey,,icon_tree_almond,Blossoms very early — frost can damage flowers and reduce yield in cooler areas
siberian_pea_shrub,Siberian Pea Shrub,Caragana arborescens,shrub,nitrogen_fixer_shrub,temperate,"RHS H6, USDA 2-7",nitrogen_fixer;fodder;pollinator_attractor,4,3,full_sun,low,tolerant_poor_soil;well_drained,1;2;3,fast,perennial,fodder;flower,summer,red_clover,,icon_shrub_siberian_pea,Extremely hardy pioneer/nurse shrub; edible seeds and good livestock fodder
autumn_olive,Autumn Olive,Elaeagnus umbellata,shrub,nitrogen_fixer_shrub,temperate,"RHS H6, USDA 4-8",nitrogen_fixer;edible;pollinator_attractor;habitat,4,4,full_sun,low,tolerant_poor_soil,1;2;3,fast,perennial,fruit,autumn,,,icon_shrub_autumn_olive,Vigorous N-fixer with edible berries; can self-seed aggressively so site and manage with care
goumi,Goumi,Elaeagnus multiflora,shrub,nitrogen_fixer_shrub,temperate,"RHS H6, USDA 5-9",nitrogen_fixer;edible;pollinator_attractor,2.5,2.5,full_sun,low,tolerant_poor_soil,1;2;3,fast,perennial,fruit,summer,,,icon_shrub_goumi,Less vigorous than autumn olive; good N-fixing companion in a fruit guild
tree_lucerne,Tree Lucerne / Tagasaste,Chamaecytisus palmensis,shrub,nitrogen_fixer_shrub,mediterranean,"RHS H3, USDA 9-11",nitrogen_fixer;fodder;pollinator_attractor,4,3,full_sun,low,well_drained;tolerant_poor_soil,1;2,fast,perennial,fodder;flower,year_round,,,icon_shrub_tree_lucerne,Frost-tender so best in mild/mediterranean climates; heavy fodder producer for cut-and-carry
broom_common,Common Broom,Cytisus scoparius,shrub,nitrogen_fixer_shrub,temperate,"RHS H6, USDA 5-8",nitrogen_fixer;pollinator_attractor,2,1.5,full_sun,low,tolerant_poor_soil;well_drained,1;2;3,fast,perennial,flower,summer,,,icon_shrub_broom,Good pioneer for poor sandy soils; short-lived but fixes nitrogen quickly
gorse,Gorse,Ulex europaeus,shrub,nitrogen_fixer_shrub,temperate,"RHS H5, USDA 6-9",nitrogen_fixer;windbreak;habitat,2.5,2,full_sun,low,tolerant_poor_soil,1;2;3,medium,perennial,none,n_a,,,icon_shrub_gorse,Spiny and excellent as a stock-proof windbreak/hedge on poor coastal or upland soil
blackthorn_sloe,Blackthorn / Sloe,Prunus spinosa,shrub,hedge_fruit,temperate,"RHS H6, USDA 4-8",edible;pollinator_attractor;habitat,4,4,full_sun,medium,tolerant_poor_soil,1;2;3,medium,perennial,fruit,autumn,hawthorn_hedge;dogwood_common;spindle;guelder_rose,,icon_shrub_blackthorn,Classic hedgerow shrub; sloes used for sloe gin and ripen after first frost
redcurrant,Redcurrant,Ribes rubrum,shrub,soft_fruit,temperate,"RHS H6, USDA 3-8",edible,1.5,1.2,partial_shade,medium,well_drained,1;2,medium,perennial,fruit,summer,nasturtium;chives,,icon_shrub_redcurrant,Tolerates more shade than blackcurrant; good in a food forest understory
jostaberry,Jostaberry,Ribes x nidigrolaria,shrub,soft_fruit,temperate,"RHS H6, USDA 3-8",edible,1.5,1.5,partial_shade,medium,well_drained,1;2,fast,perennial,fruit,summer,nasturtium;chives,,icon_shrub_jostaberry,Vigorous blackcurrant x gooseberry hybrid; thornless and disease-resistant
blueberry_highbush,Blueberry (highbush),Vaccinium corymbosum,shrub,soft_fruit,temperate,"RHS H6, USDA 3-7",edible;pollinator_attractor,1.8,1.5,full_sun,medium,acidic,1;2,medium,perennial,fruit,summer,,walnut_common;black_walnut,icon_shrub_blueberry,Needs acidic soil (pH 4.5-5.5); mulch with pine needles or ericaceous compost
honeyberry,Honeyberry,Lonicera caerulea,shrub,soft_fruit,temperate,"RHS H7, USDA 2-7",edible;pollinator_attractor,1.5,1.2,full_sun,medium,well_drained,1;2,medium,perennial,fruit,summer,,,icon_shrub_honeyberry,Extremely cold-hardy; fruits earliest of all the berry shrubs; needs 2 varieties to pollinate
aronia,Aronia / Chokeberry,Aronia melanocarpa,shrub,soft_fruit,temperate,"RHS H6, USDA 3-8",edible;pollinator_attractor;habitat,2,1.5,full_sun,medium,tolerant_poor_soil;acidic,1;2,medium,perennial,fruit,autumn,,,icon_shrub_aronia,Very high in antioxidants; tolerant of wet and poor soils
rugosa_rose,Rugosa Rose,Rosa rugosa,shrub,hedge_fruit,temperate,"RHS H6, USDA 2-7",edible;pollinator_attractor;habitat,1.5,1.5,full_sun,low,tolerant_poor_soil;well_drained,1;2,fast,perennial,fruit;flower,summer,chives;lavender;welsh_onion,,icon_shrub_rugosa_rose,Tough coastal/windbreak hedge shrub; hips very high in vitamin C
dogwood_common,Common Dogwood,Cornus sanguinea,shrub,hedge_wildlife,temperate,"RHS H6, USDA 4-8",habitat;erosion_control,4,3,partial_shade,medium,clay_tolerant,2;3,medium,perennial,none,n_a,hawthorn_hedge;blackthorn_sloe;hazel_cobnut;spindle;guelder_rose,,icon_shrub_dogwood,Good coppicing hedgerow shrub for wildlife and bank stabilisation
spindle,Spindle,Euonymus europaeus,shrub,hedge_wildlife,temperate,"RHS H6, USDA 4-7",habitat,3,2.5,partial_shade,medium,well_drained,2;3,medium,perennial,none,n_a,hawthorn_hedge;blackthorn_sloe;hazel_cobnut;dogwood_common;guelder_rose,,icon_shrub_spindle,Traditional mixed-hedge component; berries toxic to humans but valuable for birds
guelder_rose,Guelder Rose,Viburnum opulus,shrub,hedge_wildlife,temperate,"RHS H6, USDA 3-8",habitat;pollinator_attractor,4,3,partial_shade,medium,clay_tolerant,2;3,medium,perennial,none,n_a,hawthorn_hedge;blackthorn_sloe;hazel_cobnut;dogwood_common;spindle,,icon_shrub_guelder_rose,Good for damp ground; showy flowers and red berries for birds
akebia,Chocolate Vine,Akebia quinata,vine,edible_vine,temperate,"RHS H5, USDA 5-9",edible;pollinator_attractor,8,3,full_sun,medium,well_drained,1;2,fast,perennial,fruit,autumn,,,icon_vine_akebia,Vigorous twining vine good on a pergola or fence; needs two plants to fruit reliably
passionflower_hardy,Hardy Passionflower,Passiflora caerulea,vine,edible_vine,temperate,"RHS H4, USDA 7-9",edible;pollinator_attractor,6,2,full_sun,medium,well_drained,1;2,fast,perennial,fruit;flower,summer,,,icon_vine_passionflower,Ornamental and fruiting in milder temperate gardens; best against a sheltered wall
globe_artichoke,Globe Artichoke,Cynara scolymus,herb,perennial_vegetable,temperate;mediterranean,"RHS H4, USDA 7-10",edible;pollinator_attractor,1.5,1.2,full_sun,medium,well_drained,1;2,fast,perennial,flower,summer,,,icon_herb_globe_artichoke,Architectural perennial vegetable; mulch well over winter in colder zones
jerusalem_artichoke,Jerusalem Artichoke,Helianthus tuberosus,herb,perennial_vegetable,temperate,"RHS H7, USDA 3-9",edible;windbreak,2.5,1,full_sun,medium,tolerant_poor_soil;well_drained,1;2,fast,perennial,root,autumn,,,icon_herb_jerusalem_artichoke,Spreads readily via tubers — contain the patch or it becomes invasive
good_king_henry,Good King Henry,Chenopodium bonus-henricus,herb,perennial_vegetable,temperate,"RHS H6, USDA 4-8",edible,0.6,0.4,partial_shade,medium,well_drained,1;2,medium,perennial,leaf,spring,,,icon_herb_good_king_henry,Spinach-like perennial green and one of the oldest cultivated vegetables in Europe
sea_kale,Sea Kale,Crambe maritima,herb,perennial_vegetable,temperate,"RHS H6, USDA 6-9",edible;pollinator_attractor,0.75,0.75,full_sun,low,well_drained;tolerant_poor_soil,1;2,medium,perennial,leaf,spring,,,icon_herb_sea_kale,Traditionally forced/blanched in spring for tender shoots; tolerant of coastal salt
welsh_onion,Welsh Onion,Allium fistulosum,herb,perennial_vegetable,temperate,"RHS H6, USDA 4-9",edible;pest_repellent,0.4,0.2,full_sun,medium,well_drained,1;2,fast,perennial,leaf,year_round,strawberry,,icon_herb_welsh_onion,Clump-forming perennial onion; harvest leaves without killing the plant
egyptian_walking_onion,Egyptian Walking Onion,Allium x proliferum,herb,perennial_vegetable,temperate,"RHS H6, USDA 3-9",edible;pest_repellent,0.6,0.3,full_sun,medium,well_drained,1;2,fast,perennial,leaf;root,summer,,,icon_herb_walking_onion,Forms bulbils at the stem top that root where they touch down; self-propagating
horseradish,Horseradish,Armoracia rusticana,herb,root_herb,temperate,"RHS H7, USDA 3-9",edible;pest_repellent,0.6,0.6,full_sun,medium,tolerant_poor_soil;well_drained,1;2,fast,perennial,root,autumn,,,icon_herb_horseradish,Very vigorous spreading root — contain in a buried barrier or large pot
